var,cat1,cat2
V1,cat_1,cat_3
V2,cat_1,cat_3
V3,cat_1,cat_3
V4,cat_1,cat_3
V5,cat_1,cat_3
V6,cat_1,cat_3
V7,cat_1,cat_3
V8,cat_1,cat_3
V9,cat_1,cat_3
V10,cat_1,cat_3
V11,cat_1,cat_3
V12,cat_1,cat_3
V13,cat_1,cat_3
V14,cat_1,cat_3
V15,cat_1,cat_3
V16,cat_1,cat_3
V17,cat_1,cat_3
V18,cat_1,cat_3
V19,cat_1,cat_3
V20,cat_1,cat_3
V21,cat_1,cat_3
V22,cat_1,cat_3
V23,cat_1,cat_3
V24,cat_1,cat_3
V25,cat_1,cat_3
V26,cat_1,cat_3
V27,cat_1,cat_3
V28,cat_1,cat_3
V29,cat_1,cat_3
V30,cat_1,cat_3
V31,cat_1,cat_3
V32,cat_1,cat_3
V33,cat_1,cat_3
V34,cat_1,cat_3
V35,cat_1,cat_3
V36,cat_1,cat_3
V37,cat_1,cat_3
V38,cat_1,cat_3
V39,cat_1,cat_3
V40,cat_1,cat_3
V41,cat_1,cat_3
V42,cat_1,cat_3
V43,cat_1,cat_3
V44,cat_1,cat_3
V45,cat_1,cat_3
V46,cat_1,cat_3
V47,cat_1,cat_3
V48,cat_1,cat_3
V49,cat_1,cat_3
V50,cat_1,cat_3
V51,cat_1,cat_3
V52,cat_1,cat_3
V53,cat_1,cat_3
V54,cat_1,cat_3
V55,cat_1,cat_3
V56,cat_1,cat_3
V57,cat_1,cat_3
V58,cat_1,cat_3
V59,cat_1,cat_3
V60,cat_1,cat_3
V61,cat_1,cat_3
V62,cat_1,cat_3
V63,cat_1,cat_3
V64,cat_1,cat_3
V65,cat_1,cat_3
V66,cat_1,cat_3
V67,cat_1,cat_3
V68,cat_1,cat_3
V69,cat_1,cat_3
V70,cat_1,cat_3
V71,cat_1,cat_3
V72,cat_1,cat_3
V73,cat_1,cat_3
V74,cat_1,cat_3
V75,cat_1,cat_3
V76,cat_1,cat_3
V77,cat_1,cat_3
V78,cat_1,cat_3
V79,cat_1,cat_3
V80,cat_1,cat_3
V81,cat_1,cat_3
V82,cat_1,cat_3
V83,cat_1,cat_3
V84,cat_1,cat_3
V85,cat_1,cat_3
V86,cat_1,cat_3
V87,cat_1,cat_3
V88,cat_1,cat_3
V89,cat_1,cat_3
V90,cat_1,cat_3
V91,cat_1,cat_3
V92,cat_1,cat_3
V93,cat_1,cat_3
V94,cat_1,cat_3
V95,cat_1,cat_3
V96,cat_1,cat_3
V97,cat_1,cat_3
V98,cat_1,cat_3
V99,cat_1,cat_3
V100,cat_1,cat_3
V101,cat_1,cat_3
V102,cat_1,cat_3
V103,cat_1,cat_3
V104,cat_1,cat_3
V105,cat_1,cat_3
V106,cat_1,cat_3
V107,cat_1,cat_3
V108,cat_1,cat_3
V109,cat_1,cat_3
V110,cat_1,cat_3
V111,cat_1,cat_3
V112,cat_1,cat_3
V113,cat_1,cat_3
V114,cat_1,cat_3
V115,cat_1,cat_3
V116,cat_1,cat_3
V117,cat_1,cat_3
V118,cat_1,cat_3
V119,cat_1,cat_3
V120,cat_1,cat_3
V121,cat_1,cat_3
V122,cat_1,cat_3
V123,cat_1,cat_3
V124,cat_1,cat_3
V125,cat_1,cat_3
V126,cat_1,cat_3
V127,cat_1,cat_3
V128,cat_1,cat_3
V129,cat_1,cat_3
V130,cat_1,cat_3
V131,cat_1,cat_3
V132,cat_1,cat_3
V133,cat_1,cat_3
V134,cat_1,cat_3
V135,cat_1,cat_3
V136,cat_1,cat_3
V137,cat_1,cat_3
V138,cat_1,cat_3
V139,cat_1,cat_3
V140,cat_1,cat_3
V141,cat_1,cat_3
V142,cat_1,cat_3
V143,cat_1,cat_3
V144,cat_1,cat_3
V145,cat_1,cat_3
V146,cat_1,cat_3
V147,cat_1,cat_3
V148,cat_1,cat_3
V149,cat_1,cat_3
V150,cat_1,cat_3
V151,cat_1,cat_3
V152,cat_1,cat_3
V153,cat_1,cat_3
V154,cat_1,cat_3
V155,cat_1,cat_3
V156,cat_1,cat_3
V157,cat_1,cat_3
V158,cat_1,cat_3
V159,cat_1,cat_3
V160,cat_1,cat_3
V161,cat_1,cat_3
V162,cat_1,cat_3
V163,cat_1,cat_3
V164,cat_1,cat_3
V165,cat_1,cat_3
V166,cat_1,cat_3
V167,cat_1,cat_3
V168,cat_1,cat_3
V169,cat_1,cat_3
V170,cat_1,cat_3
V171,cat_1,cat_3
V172,cat_1,cat_3
V173,cat_1,cat_3
V174,cat_1,cat_3
V175,cat_1,cat_3
V176,cat_1,cat_3
V177,cat_1,cat_3
V178,cat_1,cat_3
V179,cat_1,cat_3
V180,cat_1,cat_3
V181,cat_1,cat_3
V182,cat_1,cat_3
V183,cat_1,cat_3
V184,cat_1,cat_3
V185,cat_1,cat_3
V186,cat_1,cat_3
V187,cat_1,cat_3
V188,cat_1,cat_3
V189,cat_1,cat_3
V190,cat_1,cat_3
V191,cat_1,cat_3
V192,cat_1,cat_3
V193,cat_1,cat_3
V194,cat_1,cat_3
V195,cat_1,cat_3
V196,cat_1,cat_3
V197,cat_1,cat_3
V198,cat_1,cat_3
V199,cat_1,cat_3
V200,cat_1,cat_3
V201,cat_1,cat_3
V202,cat_1,cat_3
V203,cat_1,cat_3
V204,cat_1,cat_3
V205,cat_1,cat_3
V206,cat_1,cat_3
V207,cat_1,cat_3
V208,cat_1,cat_3
V209,cat_1,cat_3
V210,cat_1,cat_3
V211,cat_1,cat_3
V212,cat_1,cat_3
V213,cat_1,cat_3
V214,cat_1,cat_3
V215,cat_1,cat_3
V216,cat_1,cat_3
V217,cat_1,cat_3
V218,cat_1,cat_3
V219,cat_1,cat_3
V220,cat_1,cat_3
V221,cat_1,cat_3
V222,cat_1,cat_3
V223,cat_1,cat_3
V224,cat_1,cat_3
V225,cat_1,cat_3
V226,cat_1,cat_3
V227,cat_1,cat_3
V228,cat_1,cat_3
V229,cat_1,cat_3
V230,cat_1,cat_3
V231,cat_1,cat_3
V232,cat_1,cat_3
V233,cat_1,cat_3
V234,cat_1,cat_3
V235,cat_1,cat_3
V236,cat_1,cat_3
V237,cat_1,cat_3
V238,cat_1,cat_3
V239,cat_1,cat_3
V240,cat_1,cat_3
V241,cat_1,cat_3
V242,cat_1,cat_3
V243,cat_1,cat_3
V244,cat_1,cat_3
V245,cat_1,cat_3
V246,cat_1,cat_3
V247,cat_1,cat_3
V248,cat_1,cat_3
V249,cat_1,cat_3
V250,cat_1,cat_3
V251,cat_1,cat_3
V252,cat_1,cat_3
V253,cat_1,cat_3
V254,cat_1,cat_3
V255,cat_1,cat_3
V256,cat_1,cat_3
V257,cat_1,cat_3
V258,cat_1,cat_3
V259,cat_1,cat_3
V260,cat_1,cat_3
V261,cat_1,cat_3
V262,cat_1,cat_3
V263,cat_1,cat_3
V264,cat_1,cat_3
V265,cat_1,cat_3
V266,cat_1,cat_3
V267,cat_1,cat_3
V268,cat_1,cat_3
V269,cat_1,cat_3
V270,cat_1,cat_3
V271,cat_1,cat_3
V272,cat_1,cat_3
V273,cat_1,cat_3
V274,cat_1,cat_3
V275,cat_1,cat_3
V276,cat_1,cat_3
V277,cat_1,cat_3
V278,cat_1,cat_3
V279,cat_1,cat_3
V280,cat_1,cat_3
V281,cat_1,cat_3
V282,cat_1,cat_3
V283,cat_1,cat_3
V284,cat_1,cat_3
V285,cat_1,cat_3
V286,cat_1,cat_3
V287,cat_1,cat_3
V288,cat_1,cat_3
V289,cat_1,cat_3
V290,cat_1,cat_3
V291,cat_1,cat_3
V292,cat_1,cat_3
V293,cat_1,cat_3
V294,cat_1,cat_3
V295,cat_1,cat_3
V296,cat_1,cat_3
V297,cat_1,cat_3
V298,cat_1,cat_3
V299,cat_1,cat_3
V300,cat_1,cat_3
V301,cat_1,cat_3
V302,cat_1,cat_3
V303,cat_1,cat_3
V304,cat_1,cat_3
V305,cat_1,cat_3
V306,cat_1,cat_3
V307,cat_1,cat_3
V308,cat_1,cat_3
V309,cat_1,cat_3
V310,cat_1,cat_3
V311,cat_1,cat_3
V312,cat_1,cat_3
V313,cat_1,cat_3
V314,cat_1,cat_3
V315,cat_1,cat_3
V316,cat_1,cat_3
V317,cat_1,cat_3
V318,cat_1,cat_3
V319,cat_1,cat_3
V320,cat_1,cat_3
V321,cat_1,cat_3
V322,cat_1,cat_3
V323,cat_1,cat_3
V324,cat_1,cat_3
V325,cat_1,cat_3
V326,cat_1,cat_3
V327,cat_1,cat_3
V328,cat_1,cat_3
V329,cat_1,cat_3
V330,cat_1,cat_3
V331,cat_1,cat_3
V332,cat_1,cat_3
V333,cat_1,cat_3
V334,cat_1,cat_3
V335,cat_1,cat_3
V336,cat_1,cat_3
V337,cat_1,cat_3
V338,cat_1,cat_3
V339,cat_1,cat_3
V340,cat_1,cat_3
V341,cat_1,cat_3
V342,cat_1,cat_3
V343,cat_1,cat_3
V344,cat_1,cat_3
V345,cat_1,cat_3
V346,cat_1,cat_3
V347,cat_1,cat_3
V348,cat_1,cat_3
V349,cat_1,cat_3
V350,cat_1,cat_3
V351,cat_1,cat_3
V352,cat_1,cat_3
V353,cat_1,cat_3
V354,cat_1,cat_3
V355,cat_1,cat_3
V356,cat_1,cat_3
V357,cat_1,cat_3
V358,cat_1,cat_3
V359,cat_1,cat_3
V360,cat_1,cat_3
V361,cat_1,cat_3
V362,cat_1,cat_3
V363,cat_1,cat_3
V364,cat_1,cat_3
V365,cat_1,cat_3
V366,cat_1,cat_3
V367,cat_1,cat_3
V368,cat_1,cat_3
V369,cat_1,cat_3
V370,cat_1,cat_3
V371,cat_1,cat_3
V372,cat_1,cat_3
V373,cat_1,cat_3
V374,cat_1,cat_3
V375,cat_1,cat_3
V376,cat_1,cat_3
V377,cat_1,cat_3
V378,cat_1,cat_3
V379,cat_1,cat_3
V380,cat_1,cat_3
V381,cat_1,cat_3
V382,cat_1,cat_3
V383,cat_1,cat_3
V384,cat_1,cat_3
V385,cat_1,cat_3
V386,cat_1,cat_3
V387,cat_1,cat_3
V388,cat_1,cat_3
V389,cat_1,cat_3
V390,cat_1,cat_3
V391,cat_1,cat_3
V392,cat_1,cat_3
V393,cat_1,cat_3
V394,cat_1,cat_3
V395,cat_1,cat_3
V396,cat_1,cat_3
V397,cat_1,cat_3
V398,cat_1,cat_3
V399,cat_1,cat_3
V400,cat_1,cat_3
V401,cat_1,cat_3
